experiment,benchmark_set,metric_family,status,key_precision,key_recall,key_f1,key_value_precision,key_value_recall,key_value_f1,exact_pair_match_rate,all_attributes_correct,zero_correct,notes
qmeans,gold_1k_v2,current_priority_evaluator,completed,0.9595,0.2982,0.4550,0.1266,0.0393,0.0600,,,,Baseline from corrected priority evaluator
gemma_v11_priority_balanced,gold_1k_v2,current_priority_evaluator,completed,0.7947,0.3182,0.4544,0.3543,0.1418,0.2026,,,,"Completed on 11 May; V11 beats V7 on both standalone metrics, but qmeans still leads on key F1. V11 also beats qmeans on key+value F1."
